Date,Open,High,Low,Close,Adj Close,Volume
2017-06-27,15.9,15.9,15.0,15.25,15.25,715300
2017-06-28,15.22,15.25,15.1,15.15,15.15,71000
2017-06-29,15.15,15.15,14.74,14.86,14.86,90200
2017-06-30,14.83,15.127,14.83,15.0,15.0,31600
2017-07-03,15.27,15.27,15.0,15.05,15.05,10400
2017-07-05,15.05,15.2,14.89,15.14,15.14,13000
2017-07-06,15.27,15.31,14.95,14.95,14.95,24400
2017-07-07,15.0,15.04,14.97,14.995,14.995,8200
2017-07-10,15.0,15.21,14.79,14.85,14.85,42500
2017-07-11,14.85,15.0,14.8,14.94,14.94,29000
2017-07-12,14.77,15.0,14.51,14.9,14.9,81400
2017-07-13,14.77,15.0,14.77,14.95,14.95,53900
2017-07-14,14.767,14.811,14.6,14.65,14.65,44000
2017-07-17,14.656,14.683,14.64,14.66,14.66,16800
2017-07-18,14.65,14.75,14.65,14.7,14.7,8200
2017-07-19,14.59,14.67,14.55,14.65,14.65,51500
2017-07-20,14.65,14.677,14.6,14.65,14.65,30800
2017-07-21,14.65,14.75,14.65,14.65,14.65,27000
2017-07-24,14.68,14.7,14.552,14.65,14.65,7200
2017-07-25,14.75,14.815,14.6,14.74,14.74,63600
2017-07-26,14.795,14.89,14.55,14.85,14.85,53900
2017-07-27,14.91,14.91,14.61,14.61,14.61,39100
2017-07-28,14.75,14.95,14.75,14.9,14.9,15000
2017-07-31,14.85,14.85,14.7,14.775,14.775,24600
2017-08-01,14.75,14.95,14.7,14.89,14.89,11800
2017-08-02,14.81,14.85,14.8,14.8,14.8,15800
2017-08-03,14.9,14.94,14.75,14.82,14.82,52700
2017-08-04,14.99,15.0,14.84,15.0,15.0,22000
2017-08-07,15.0,15.05,14.9,15.01,15.01,49600
2017-08-08,15.047,15.17,15.0,15.15,15.15,23000
2017-08-09,15.25,15.3,15.05,15.18,15.18,10300
2017-08-10,15.0,15.3,15.0,15.17,15.17,9900
2017-08-11,15.32,16.120001000000002,15.21,16.059998999999998,16.059998999999998,1500
2017-08-14,15.99,16.059998999999998,15.158,16.0,16.0,4000
2017-08-15,16.0,16.0,15.524,15.524,15.524,1700
2017-08-16,15.6,15.83,15.6,15.83,15.83,1400
2017-08-17,15.78,16.01,15.78,16.01,16.01,200
2017-08-18,15.987,15.987,15.987,15.987,15.987,700
2017-08-21,16.01,16.16,15.78,15.9,15.9,12300
2017-08-22,15.9,15.9,15.17,15.28,15.28,21600
2017-08-23,15.43,15.5,14.785,15.16,15.16,23900
2017-08-24,15.09,15.2,14.9,15.2,15.2,3400
2017-08-25,15.35,15.5,15.0,15.075,15.075,4100
2017-08-28,14.95,14.95,14.8,14.9,14.9,11200
2017-08-29,14.8,14.853,14.53,14.7,14.7,43700
2017-08-30,14.8,15.06,14.73,15.06,15.06,45800
2017-08-31,15.06,15.25,15.0,15.0,15.0,19900
2017-09-01,15.0,15.25,14.76,14.76,14.76,22000
2017-09-05,14.95,14.95,14.51,14.8,14.8,30500
2017-09-06,14.57,15.0,14.57,14.94,14.94,33100
2017-09-07,15.24,15.24,15.0,15.08,15.08,7500
2017-09-08,15.03,15.235,15.03,15.125,15.125,2300
2017-09-11,15.06,15.23,14.95,15.1,15.1,19700
2017-09-12,15.2,15.2,15.0,15.2,15.2,9700
2017-09-13,15.25,15.25,15.0,15.0,15.0,13100
2017-09-14,14.98,15.25,14.98,15.2,15.2,17500
2017-09-15,15.19,15.2,14.65,14.65,14.65,66200
2017-09-18,14.8,15.15,14.7,14.85,14.85,23000
2017-09-19,15.081,15.09,14.91,15.0,15.0,4500
2017-09-20,15.0,15.18,15.0,15.18,15.18,11600
2017-09-21,15.18,15.25,15.12,15.21,15.21,28200
2017-09-22,15.02,15.19,15.0,15.06,15.06,1500
2017-09-25,15.2,15.21,15.0,15.2,15.2,9600
2017-09-26,15.2,15.2,15.04,15.19,15.19,1800
2017-09-27,15.175,15.44,15.175,15.34,15.34,12200
2017-09-28,15.35,16.521998999999997,15.35,16.0,16.0,67700
2017-09-29,15.99,16.09,15.84,16.09,16.09,8680
