Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,136.259995,136.990005,131.600006,133.25,133.25,534200
2017-01-04,134.190002,139.0,133.020004,138.320007,138.320007,644500
2017-01-05,139.179993,139.78999299999998,135.990005,138.58999599999999,138.58999599999999,459600
2017-01-06,138.279999,144.740005,138.279999,143.580002,143.580002,846300
2017-01-09,145.929993,149.740005,144.25,148.850006,148.850006,959700
2017-01-10,149.080002,149.889999,145.220001,147.240005,147.240005,810900
2017-01-11,146.880005,153.649994,139.179993,145.899994,145.899994,1437200
2017-01-12,140.28999299999998,149.0,140.270004,146.979996,146.979996,994900
2017-01-13,148.029999,157.770004,148.0,156.41000400000001,156.41000400000001,1066000
2017-01-17,156.0,156.490005,150.720001,151.25,151.25,1221200
2017-01-18,152.300003,154.75,147.729996,149.259995,149.259995,726500
2017-01-19,150.009995,153.639999,148.380005,149.91000400000001,149.91000400000001,660200
2017-01-20,149.850006,150.190002,146.059998,147.0,147.0,943200
2017-01-23,148.619995,150.71000700000002,144.529999,146.08999599999999,146.08999599999999,855400
2017-01-24,146.470001,148.529999,141.580002,142.570007,142.570007,714600
2017-01-25,142.740005,144.669998,139.029999,140.0,140.0,890900
2017-01-26,141.0,157.03999299999998,137.220001,153.360001,153.360001,3158800
2017-01-27,154.690002,159.690002,149.509995,153.850006,153.850006,1157800
2017-01-30,153.0,156.479996,149.929993,153.440002,153.440002,1037600
2017-01-31,152.919998,163.779999,150.41000400000001,162.83999599999999,162.83999599999999,1143800
2017-02-01,164.990005,164.990005,157.009995,161.070007,161.070007,806100
2017-02-02,160.860001,161.96000700000002,158.059998,158.830002,158.830002,754700
2017-02-03,161.020004,164.449997,157.699997,164.179993,164.179993,788800
2017-02-06,161.300003,164.5,157.009995,161.71000700000002,161.71000700000002,605000
2017-02-07,162.649994,164.270004,160.970001,162.949997,162.949997,464300
2017-02-08,161.479996,190.0,160.559998,182.679993,182.679993,2847600
2017-02-09,183.600006,192.0,183.350006,186.91000400000001,186.91000400000001,1591800
